               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.029494,            0.014646,           0.0068583,             0.76624,             0.88718,             0.87205,             0.51761,            0.028764,           0.0082532,           0.0044702,             0.00307,             0.00307,             0.00307
                  37,            0.032897,            0.015582,           0.0098212,             0.77088,             0.90772,             0.87417,             0.53019,            0.028279,           0.0082594,            0.004806,            0.002872,            0.002872,            0.002872
                  38,            0.031259,            0.015602,           0.0066315,             0.76488,             0.89845,             0.87371,             0.51464,             0.02961,           0.0081914,           0.0054673,            0.002674,            0.002674,            0.002674
                  39,            0.031852,            0.014685,           0.0067328,             0.80528,             0.86748,             0.87529,             0.51985,            0.030181,           0.0081723,           0.0053085,            0.002476,            0.002476,            0.002476
                  40,            0.027704,            0.014657,           0.0064159,             0.79604,             0.85252,             0.86791,             0.52471,            0.030905,            0.008281,           0.0056665,            0.002278,            0.002278,            0.002278
                  41,            0.029084,            0.014762,           0.0068036,             0.83188,             0.82782,             0.86886,             0.55161,            0.030573,           0.0081732,            0.005559,             0.00208,             0.00208,             0.00208
                  42,             0.02767,            0.015004,           0.0071796,             0.81909,             0.83388,             0.85814,             0.54822,            0.029864,           0.0080729,           0.0053466,            0.001882,            0.001882,            0.001882
                  43,            0.028201,            0.014915,           0.0062967,             0.81094,             0.81491,             0.85151,             0.52625,            0.029794,           0.0080484,           0.0049968,            0.001684,            0.001684,            0.001684
                  44,            0.024423,            0.014187,           0.0065108,             0.80425,             0.82318,             0.86549,             0.54268,            0.029341,           0.0079329,           0.0047045,            0.001486,            0.001486,            0.001486
                  45,            0.029556,            0.014916,           0.0069735,             0.78909,             0.87368,             0.86974,             0.53936,            0.029535,           0.0078914,           0.0047772,            0.001288,            0.001288,            0.001288
                  46,            0.023374,            0.013691,            0.005175,             0.82278,             0.84461,              0.8688,             0.55852,            0.029351,           0.0079229,           0.0047194,             0.00109,             0.00109,             0.00109
                  47,            0.022756,            0.014828,           0.0047159,             0.80341,             0.85539,             0.87837,             0.57969,             0.02898,           0.0078401,           0.0046713,            0.000892,            0.000892,            0.000892
                  48,            0.023216,            0.013264,           0.0049569,             0.81031,             0.86987,             0.87636,             0.57765,            0.029223,           0.0077988,           0.0043773,            0.000694,            0.000694,            0.000694
                  49,            0.026959,            0.013771,           0.0060554,             0.77419,             0.90236,              0.8779,             0.57827,            0.028626,           0.0078545,           0.0045156,            0.000496,            0.000496,            0.000496
